Power                   Time
6460.557553499428	0.256
6460.557553499428	0.268
6460.557553499428	0.28
6460.557553499428	0.292
6460.557553499428	0.304
6460.557553499428	0.316
6460.557553499428	0.328
6460.557553499428	0.34
6460.557553499428	0.352
6460.557553499428	0.364
6460.557553499428	0.376
6460.557553499428	0.388
6460.557553499428	0.4
6460.557553499428	0.412
6460.557553499428	0.424
6460.557553499428	0.436
6460.557553499428	0.448
6460.557553499428	0.46
6460.557553499428	0.472
6460.557553499428	0.484
6460.557553499428	0.496
6460.557553499428	0.508
6460.557553499428	0.52
6460.557553499428	0.532
6460.557553499428	0.544
6460.557553499428	0.556
6460.557553499428	0.568
6460.557553499428	0.58
6460.557553499428	0.592
6460.557553499428	0.604
6460.557553499428	0.616
6460.557553499428	0.628
6460.557553499428	0.64
6460.557553499428	0.652
6460.557553499428	0.664
6460.557553499428	0.676
6460.557553499428	0.688
6460.557553499428	0.7
6460.557553499428	0.712
6460.557553499428	0.724
6460.557553499428	0.736
6460.557553499428	0.748
6460.557553499428	0.76
6460.557553499428	0.772
6460.557553499428	0.784
6460.557553499428	0.796
6460.557553499428	0.808
6460.557553499428	0.82
6460.557553499428	0.832
6460.557553499428	0.844
6460.557553499428	0.856
6460.557553499428	0.868
6460.557553499428	0.88
6460.557553499428	0.892
6460.557553499428	0.904
6460.557553499428	0.916
6460.557553499428	0.928
6460.557553499428	0.94
6460.557553499428	0.952
6460.557553499428	0.964
6460.557553499428	0.976
6460.557553499428	0.988
6460.557553499428	1.0
6460.557553499428	1.012
6460.557553499428	1.024
6460.557553499428	1.036
6460.557553499428	1.048
6460.557553499428	1.06
6460.557553499428	1.072
6460.557553499428	1.084
6460.557553499428	1.096
6460.557553499428	1.108
6460.557553499428	1.12
6460.557553499428	1.132
6460.557553499428	1.144
6460.557553499428	1.156
6460.557553499428	1.168
6460.557553499428	1.18
6460.557553499428	1.192
6460.557553499428	1.204
6460.557553499428	1.216
6460.557553499428	1.228
6460.557553499428	1.24
6460.557553499428	1.252
6460.557553499428	1.264
6460.557553499428	1.276
6460.557553499428	1.288
6460.557553499428	1.3
6460.557553499428	1.312
6460.557553499428	1.324
6460.557553499428	1.336
6460.557553499428	1.348
6460.557553499428	1.36
6460.557553499428	1.372
6460.557553499428	1.384
6460.557553499428	1.396
6460.557553499428	1.408
6460.557553499428	1.42
6460.557553499428	1.432
6460.557553499428	1.444
6460.557553499428	1.456
6460.557553499428	1.468
6460.557553499428	1.48
6460.557553499428	1.492
6460.557553499428	1.504
6460.557553499428	1.516
6460.557553499428	1.528
6460.557553499428	1.54
6460.557553499428	1.552
6460.557553499428	1.564
6460.557553499428	1.576
6460.557553499428	1.588
6460.557553499428	1.6
6460.557553499428	1.612
6460.557553499428	1.624
6460.557553499428	1.636
6460.557553499428	1.648
6460.557553499428	1.66
6460.557553499428	1.672
6460.557553499428	1.684
6460.557553499428	1.696
6460.557553499428	1.708
6460.557553499428	1.72
6460.557553499428	1.732
6460.557553499428	1.744
6460.557553499428	1.756
6460.557553499428	1.768
6460.557553499428	1.78
6460.557553499428	1.792
6460.557553499428	1.804
6460.557553499428	1.816
6460.557553499428	1.828
6460.557553499428	1.84
6460.557553499428	1.852
6460.557553499428	1.864
6460.557553499428	1.876
6460.557553499428	1.888
6460.557553499428	1.9
6460.557553499428	1.912
6460.557553499428	1.924
6460.557553499428	1.936
6460.557553499428	1.948
6460.557553499428	1.96
6460.557553499428	1.972
6460.557553499428	1.984
6460.557553499428	1.996
6460.557553499428	2.008
6460.557553499428	2.02
6460.557553499428	2.032
6460.557553499428	2.044
6460.557553499428	2.056
6493.176092335978	2.068
6529.287953768941	2.08
6568.956606169869	2.092
6612.224986176828	2.104
6659.114281547493	2.116
6709.622781789451	2.128
6763.7252117513	2.14
6821.373155614881	2.152
6882.496735420136	2.164
6947.007632078202	2.176
7014.80242667938	2.188
7085.766621517734	2.2
7159.778104244913	2.212
7236.709466923136	2.224
7316.430308805083	2.236
7398.807874653558	2.248
7483.707606233572	2.26
7570.9954193036465	2.272
7660.539859131656	2.284
7752.212596301778	2.296
7845.888676609379	2.308
7941.447990400264	2.32
8038.774280796859	2.332
8137.751545532854	2.344
8238.2623797567	2.356
8340.187814051476	2.368
8443.405690170595	2.38
8547.788440430211	2.392
8653.204088435854	2.404
8759.518581553559	2.416
8866.596499563973	2.428
8974.302489433947	2.44
9082.504079510429	2.452
9191.074394407846	2.464
9299.892952673961	2.476
9408.84675455659	2.488
9517.832253348863	2.5
9626.756477116103	2.512
9735.538482379554	2.524
9844.110631928068	2.536
9952.419920758924	2.548
10060.42910913394	2.56
10168.117143568554	2.572
10275.479451560203	2.584
10382.527459063425	2.596
10489.28756758979	2.608
10595.79868498839	2.62
10702.109627880876	2.632
10808.276989079033	2.644
10914.363551681427	2.656
11020.436667082928	2.668
11126.563728363115	2.68
11232.808189550951	2.692
11339.22983594371	2.704
11445.885349561879	2.716
11552.826906510192	2.728
11660.100164089856	2.74
11767.742405413857	2.752
11875.779343404916	2.764
11984.22026144916	2.776
12093.05318502594	2.788
12202.24142392453	2.8
12311.720740867484	2.812
12421.396456556235	2.824
12531.142245822382	2.836
12640.800229580618	2.848
12750.182040781327	2.86
12859.072597593951	2.872
12967.236070971883	2.884
13074.422100866	2.896
13180.372337273902	2.908
13284.828625751219	2.92
13387.541746416679	2.932
13488.27883621154	2.944
13586.829128370971	2.956
13683.00903004399	2.968
13776.665554387635	2.98
13867.675879181614	2.992
13955.944015919415	3.004
14041.395915903213	3.016
14123.97210101768	3.028
