Group,Power,Time
1,715.8508019091078,0.256
1,715.8508019091078,0.268
1,715.8508019091078,0.28
1,715.8508019091078,0.292
1,715.8508019091078,0.304
1,715.8508019091078,0.316
1,715.8508019091078,0.328
1,715.8508019091078,0.34
1,715.8508019091078,0.352
1,715.8508019091078,0.364
1,715.8508019091078,0.376
1,715.8508019091078,0.388
1,715.8508019091078,0.4
1,715.8508019091078,0.412
1,715.8508019091078,0.424
1,715.8508019091078,0.436
1,715.8508019091078,0.448
1,715.8508019091078,0.46
1,715.8508019091078,0.472
1,715.8508019091078,0.484
1,715.8508019091078,0.496
1,715.8508019091078,0.508
1,715.8508019091078,0.52
1,715.8508019091078,0.532
1,715.8508019091078,0.544
1,715.8508019091078,0.556
1,715.8508019091078,0.568
1,715.8508019091078,0.58
1,715.8508019091078,0.592
1,715.8508019091078,0.604
1,715.8508019091078,0.616
1,715.8508019091078,0.628
1,715.8508019091078,0.64
1,715.8508019091078,0.652
1,715.8508019091078,0.664
1,715.8508019091078,0.676
1,715.8508019091078,0.688
1,715.8508019091078,0.7
1,715.8508019091078,0.712
1,715.8508019091078,0.724
1,715.8508019091078,0.736
1,715.8508019091078,0.748
1,715.8508019091078,0.76
1,715.8508019091078,0.772
1,715.8508019091078,0.784
1,715.8508019091078,0.796
1,715.8508019091078,0.808
1,715.8508019091078,0.82
1,715.8508019091078,0.832
1,715.8508019091078,0.844
1,715.8508019091078,0.856
1,715.8508019091078,0.868
1,715.8508019091078,0.88
1,715.8508019091078,0.892
1,715.8508019091078,0.904
1,715.8508019091078,0.916
1,715.8508019091078,0.928
1,715.8508019091078,0.94
1,715.8508019091078,0.952
1,715.8508019091078,0.964
1,715.8508019091078,0.976
1,715.8508019091078,0.988
1,715.8508019091078,1.0
1,715.8508019091078,1.012
1,715.8508019091078,1.024
1,715.8508019091078,1.036
1,715.8508019091078,1.048
1,715.8508019091078,1.06
1,715.8508019091078,1.072
1,715.8508019091078,1.084
1,715.8508019091078,1.096
1,715.8508019091078,1.108
1,715.8508019091078,1.12
1,715.8508019091078,1.132
1,715.8508019091078,1.144
1,715.8508019091078,1.156
1,715.8508019091078,1.168
1,715.8508019091078,1.18
1,715.8508019091078,1.192
1,715.8508019091078,1.204
1,715.8508019091078,1.216
1,715.8508019091078,1.228
1,715.8508019091078,1.24
1,715.8508019091078,1.252
1,715.8508019091078,1.264
1,715.8508019091078,1.276
1,715.8508019091078,1.288
1,715.8508019091078,1.3
1,715.8508019091078,1.312
1,715.8508019091078,1.324
1,715.8508019091078,1.336
1,715.8508019091078,1.348
1,715.8508019091078,1.36
1,715.8508019091078,1.372
1,715.8508019091078,1.384
1,715.8508019091078,1.396
1,715.8508019091078,1.408
1,715.8508019091078,1.42
1,715.8508019091078,1.432
1,715.8508019091078,1.444
2,715.8508019091078,1.456
2,715.8508019091078,1.468
2,715.8508019091078,1.48
2,715.8508019091078,1.492
2,715.8508019091078,1.504
2,715.8508019091078,1.516
2,715.8508019091078,1.528
2,715.8508019091078,1.54
2,715.8508019091078,1.552
2,715.8508019091078,1.564
2,715.8508019091078,1.576
2,715.8508019091078,1.588
2,715.8508019091078,1.6
2,715.8508019091078,1.612
2,715.8508019091078,1.624
2,715.8508019091078,1.636
2,715.8508019091078,1.648
2,715.8508019091078,1.66
2,715.8508019091078,1.672
2,715.8508019091078,1.684
2,715.8508019091078,1.696
2,715.8508019091078,1.708
2,715.8508019091078,1.72
2,715.8508019091078,1.732
2,715.8508019091078,1.744
2,715.8508019091078,1.756
2,715.8508019091078,1.768
2,715.8508019091078,1.78
2,715.8508019091078,1.792
2,715.8508019091078,1.804
2,715.8508019091078,1.816
2,715.8508019091078,1.828
2,715.8508019091078,1.84
2,715.8508019091078,1.852
2,715.8508019091078,1.864
2,715.8508019091078,1.876
2,715.8508019091078,1.888
2,715.8508019091078,1.9
2,715.8508019091078,1.912
2,715.8508019091078,1.924
2,715.8508019091078,1.936
2,715.8508019091078,1.948
2,715.8508019091078,1.96
2,715.8508019091078,1.972
2,715.8508019091078,1.984
2,715.8508019091078,1.996
2,715.8508019091078,2.008
2,715.8508019091078,2.02
2,715.8508019091078,2.032
2,715.8508019091078,2.044
2,715.8508019091078,2.056
2,713.4346840107338,2.068
2,711.1090259471839,2.08
2,708.8856550744547,2.092
2,706.7773808862032,2.104
2,704.7975479407752,2.116
2,702.9597301347842,2.128
2,701.277347848816,2.14
