Group,Power,Time
1,1960.5689988104746,0.256
1,1960.5689988104746,0.268
1,1960.5689988104746,0.28
1,1960.5689988104746,0.292
1,1960.5689988104746,0.304
1,1960.5689988104746,0.316
1,1960.5689988104746,0.328
1,1960.5689988104746,0.34
1,1960.5689988104746,0.352
1,1960.5689988104746,0.364
1,1960.5689988104746,0.376
1,1960.5689988104746,0.388
1,1960.5689988104746,0.4
1,1960.5689988104746,0.412
1,1960.5689988104746,0.424
1,1960.5689988104746,0.436
1,1960.5689988104746,0.448
1,1960.5689988104746,0.46
1,1960.5689988104746,0.472
1,1960.5689988104746,0.484
1,1960.5689988104746,0.496
1,1960.5689988104746,0.508
1,1960.5689988104746,0.52
1,1960.5689988104746,0.532
1,1960.5689988104746,0.544
1,1960.5689988104746,0.556
1,1960.5689988104746,0.568
1,1960.5689988104746,0.58
1,1960.5689988104746,0.592
1,1960.5689988104746,0.604
1,1960.5689988104746,0.616
1,1960.5689988104746,0.628
1,1960.5689988104746,0.64
1,1960.5689988104746,0.652
1,1960.5689988104746,0.664
1,1960.5689988104746,0.676
1,1960.5689988104746,0.688
1,1960.5689988104746,0.7
1,1960.5689988104746,0.712
1,1960.5689988104746,0.724
1,1960.5689988104746,0.736
1,1960.5689988104746,0.748
1,1960.5689988104746,0.76
1,1960.5689988104746,0.772
1,1960.5689988104746,0.784
1,1960.5689988104746,0.796
1,1960.5689988104746,0.808
1,1960.5689988104746,0.82
1,1960.5689988104746,0.832
1,1960.5689988104746,0.844
1,1960.5689988104746,0.856
1,1960.5689988104746,0.868
1,1960.5689988104746,0.88
1,1960.5689988104746,0.892
1,1960.5689988104746,0.904
1,1960.5689988104746,0.916
1,1960.5689988104746,0.928
1,1960.5689988104746,0.94
1,1960.5689988104746,0.952
1,1960.5689988104746,0.964
1,1960.5689988104746,0.976
1,1960.5689988104746,0.988
1,1960.5689988104746,1.0
1,1960.5689988104746,1.012
1,1960.5689988104746,1.024
1,1960.5689988104746,1.036
1,1960.5689988104746,1.048
1,1960.5689988104746,1.06
1,1960.5689988104746,1.072
1,1960.5689988104746,1.084
1,1960.5689988104746,1.096
1,1960.5689988104746,1.108
1,1960.5689988104746,1.12
1,1960.5689988104746,1.132
1,1960.5689988104746,1.144
1,1960.5689988104746,1.156
1,1960.5689988104746,1.168
1,1960.5689988104746,1.18
1,1960.5689988104746,1.192
1,1960.5689988104746,1.204
1,1960.5689988104746,1.216
1,1960.5689988104746,1.228
1,1960.5689988104746,1.24
1,1960.5689988104746,1.252
1,1960.5689988104746,1.264
1,1960.5689988104746,1.276
1,1960.5689988104746,1.288
1,1960.5689988104746,1.3
1,1960.5689988104746,1.312
1,1960.5689988104746,1.324
1,1960.5689988104746,1.336
1,1960.5689988104746,1.348
1,1960.5689988104746,1.36
1,1960.5689988104746,1.372
1,1960.5689988104746,1.384
1,1960.5689988104746,1.396
1,1960.5689988104746,1.408
1,1960.5689988104746,1.42
1,1960.5689988104746,1.432
1,1960.5689988104746,1.444
2,1960.5689988104746,1.456
2,1960.5689988104746,1.468
2,1960.5689988104746,1.48
2,1960.5689988104746,1.492
2,1960.5689988104746,1.504
2,1960.5689988104746,1.516
2,1960.5689988104746,1.528
2,1960.5689988104746,1.54
2,1960.5689988104746,1.552
2,1960.5689988104746,1.564
2,1960.5689988104746,1.576
2,1960.5689988104746,1.588
2,1960.5689988104746,1.6
2,1960.5689988104746,1.612
2,1960.5689988104746,1.624
2,1960.5689988104746,1.636
2,1960.5689988104746,1.648
2,1960.5689988104746,1.66
2,1960.5689988104746,1.672
2,1960.5689988104746,1.684
2,1960.5689988104746,1.696
2,1960.5689988104746,1.708
2,1960.5689988104746,1.72
2,1960.5689988104746,1.732
2,1960.5689988104746,1.744
2,1960.5689988104746,1.756
2,1960.5689988104746,1.768
2,1960.5689988104746,1.78
2,1960.5689988104746,1.792
2,1960.5689988104746,1.804
2,1960.5689988104746,1.816
2,1960.5689988104746,1.828
2,1960.5689988104746,1.84
2,1960.5689988104746,1.852
2,1960.5689988104746,1.864
2,1960.5689988104746,1.876
2,1960.5689988104746,1.888
2,1960.5689988104746,1.9
2,1960.5689988104746,1.912
2,1960.5689988104746,1.924
2,1960.5689988104746,1.936
2,1960.5689988104746,1.948
2,1960.5689988104746,1.96
2,1960.5689988104746,1.972
2,1960.5689988104746,1.984
2,1960.5689988104746,1.996
2,1960.5689988104746,2.008
2,1960.5689988104746,2.02
2,1960.5689988104746,2.032
2,1960.5689988104746,2.044
2,1960.5689988104746,2.056
2,1975.6772945253656,2.068
2,1990.7729308304001,2.08
2,2005.8433170295946,2.092
2,2020.8838344224703,2.104
2,2035.8980340141304,2.116
2,2050.8984590951463,2.128
2,2065.9072922337905,2.14
2,2080.9550610633464,2.152
2,2096.079660911816,2.164
2,2111.3260563976146,2.176
2,2126.7444002627376,2.188
2,2142.38820444616,2.2
2,2158.313664051272,2.212
2,2174.5797238894243,2.224
2,2191.247417922654,2.236
2,2208.378761062537,2.248
2,2226.03351678884,2.26
2,2244.2661894042767,2.272
2,2263.123496443431,2.284
2,2282.642288170558,2.296
2,2302.846841678977,2.308
2,2323.7464094342017,2.32
2,2345.3333392664676,2.332
2,2367.58300398632,2.344
2,2390.454188691886,2.356
2,2413.8897629752546,2.368
2,2437.8190092647606,2.38
2,2462.1628760022068,2.392
2,2486.8384381806427,2.404
2,2511.7617467186737,2.416
2,2536.851726418567,2.428
2,2562.0339634531206,2.44
2,2587.2431940037404,2.452
2,2612.424750287427,2.464
2,2637.5350655460857,2.476
2,2662.539082211414,2.488
2,2687.4076993722542,2.5
2,2712.11726794761,2.512
2,2736.6490911381557,2.524
2,2760.988473411282,2.536
2,2785.1241093320564,2.548
2,2809.047766798433,2.56
2,2832.7535525255184,2.572
2,2856.2380176102897,2.584
2,2879.500287198101,2.596
2,2902.541160541863,2.608
2,2925.3631951228426,2.62
2,2947.9718171946793,2.632
2,2970.3759767964316,2.644
3,2992.5884346312555,2.656
3,3014.6250556247255,2.668
3,3036.505229315227,2.68
3,3058.2520431807293,2.692
3,3079.890889711477,2.704
3,3101.4477228530177,2.716
3,3122.947870799462,2.728
3,3144.4151514381433,2.74
3,3165.869891341602,2.752
3,3187.3275116539007,2.764
3,3208.7984306344033,2.776
3,3230.2862315245598,2.788
3,3251.7858814778324,2.8
3,3273.285020882415,2.812
3,3294.7671221015225,2.824
3,3316.2131390873715,2.836
3,3337.6023138722817,2.848
3,3358.911253306321,2.86
3,3380.111030394557,2.872
3,3401.167124310194,2.884
3,3422.0405524236126,2.896
3,3442.68841234464,2.908
3,3463.062630600044,2.92
3,3483.109022215493,2.932
3,3502.7680778251497,2.944
3,3521.9758387041516,2.956
3,3540.6646220019056,2.968
3,3558.763499719508,2.98
3,3576.1990776308044,2.992
3,3592.8978956612127,3.004
3,3608.788868051403,3.016
3,3623.8067884033144,3.028
3,3637.8975256350823,3.04
3,3651.023000597145,3.052
3,3663.1634671805723,3.064
3,3674.318832372874,3.076
3,3684.5101358911725,3.088
3,3693.780347872949,3.1
3,3702.194513284293,3.112
3,3709.837734874945,3.124
3,3716.811884916386,3.136
3,3723.230769669789,3.148
3,3729.2140968547283,3.16
3,3734.881714782554,3.172
3,3740.350314346598,3.184
3,3745.732693614602,3.196
3,3751.1347478774583,3.208
3,3756.6531214572415,3.22
3,3762.372094372521,3.232
3,3768.3613498881878,3.244
3,3774.676486488146,3.256
3,3781.3610792455265,3.268
3,3788.447995261665,3.28
3,3795.958792884086,3.292
3,3803.903354308295,3.304
3,3812.278935954488,3.316
3,3821.068345031731,3.328
3,3830.2384359008865,3.34
3,3839.7395762185856,3.352
3,3849.504317411338,3.364
3,3859.444724269593,3.376
3,3869.45303795234,3.388
3,3879.403170546904,3.4
3,3889.152452466512,3.412
3,3898.543368224658,3.424
3,3907.407662860392,3.436
3,3915.5717067011847,3.448
3,3922.865841532306,3.46
3,3929.132434096542,3.472
3,3934.23341659097,3.484
3,3938.0564349687643,3.496
3,3940.5203459420645,3.508
3,3941.5782203131453,3.52
3,3941.2189946154103,3.532
3,3939.4667550365634,3.544
3,3936.377642503615,3.556
3,3932.035515176508,3.568
3,3926.5459356053757,3.58
3,3920.027603673243,3.592
3,3912.6049056742213,3.604
3,3904.402667125686,3.616
3,3895.5409343030356,3.628
3,3886.130421055181,3.64
3,3876.269958266538,3.652
3,3866.04564693227,3.664
3,3855.5310994826136,3.676
3,3844.7926212469565,3.688
3,3833.8937752800584,3.7
3,3822.8964751757594,3.712
3,3811.8633788079896,3.724
3,3800.8594490301266,3.736
3,3789.952419270359,3.748
3,3779.21255126015,3.76
3,3768.7119445730195,3.772
3,3758.5219687194094,3.784
3,3748.7088981794195,3.796
3,3739.3321012268098,3.808
3,3730.4405262179494,3.82
3,3722.070159019482,3.832
3,3714.243023451683,3.844
4,3706.966035239163,3.856
4,3700.231806469905,3.868
4,3694.0183673162433,3.88
4,3688.289557555682,3.892
4,3682.9960032653557,3.904
4,3678.078053034729,3.916
4,3673.4690848360865,3.928
4,3669.098395172186,3.94
4,3664.8949189064942,3.952
4,3660.789370794852,3.964
4,3656.713331905993,3.976
4,3652.6010068930464,3.988
4,3648.3910915008114,4.0
4,3644.025265723748,4.012
4,3639.44455663698,4.024
4,3634.589799143387,4.036
4,3629.403714134835,4.048
4,3623.8340032037095,4.06
4,3617.837403857581,4.072
4,3611.382898192434,4.084
4,3604.453798745014,4.096
4,3597.0499688606324,4.108
4,3589.1908711921537,4.12
4,3580.9179132653026,4.132
4,3572.295200073354,4.144
4,3563.409484616999,4.156
4,3554.369537489505,4.168
4,3545.3057018144013,4.18
4,3536.3678223036177,4.192
4,3527.7209883842283,4.204
4,3519.542094942551,4.216
4,3512.0144396982864,4.228
4,3505.319104823229,4.24
4,3499.6254596531285,4.252
4,3495.08445540527,4.264
4,3491.822356038572,4.276
4,3489.9348363143727,4.288
4,3489.4825595043694,4.3
4,3490.4862465510973,4.312
4,3492.9248191529414,4.324
4,3496.7363737091764,4.336
4,3501.8222168401376,4.348
4,3508.0529863006122,4.36
4,3515.275312136379,4.372
4,3523.3181252287964,4.384
4,3531.997367562187,4.396
4,3541.122561745769,4.408
4,3550.503450338438,4.42
4,3559.9566771749487,4.432
4,3569.311309015691,4.444
4,3578.41271117778,4.456
4,3587.125731070993,4.468
4,3595.3375157106957,4.48
4,3602.9602781900785,4.492
4,3609.9318074267308,4.504
4,3616.2155347301646,4.516
4,3621.800677340801,4.528
4,3626.701048356446,4.54
4,3630.9526863528667,4.552
4,3634.613420534201,4.564
4,3637.76264088036,4.576
4,3640.4988046949193,4.588
4,3642.9354512734308,4.6
4,3645.1973499381916,4.612
4,3647.417270453264,4.624
4,3649.730400824805,4.636
4,3652.2690321257232,4.648
4,3655.1570517848463,4.66
4,3658.505619873751,4.672
4,3662.4085709246665,4.684
4,3666.9394751442583,4.696
4,3672.150787843862,4.708
4,3678.073939871483,4.72
4,3684.7201819921447,4.732
4,3692.0832183597236,4.744
4,3700.143720315033,4.756
4,3708.873519586015,4.768
4,3718.239454768534,4.78
4,3728.20796115634,4.792
4,3738.748649784785,4.804
4,3749.8365827739417,4.816
4,3761.453531905289,4.828
4,3773.5883851429307,4.84
4,3786.23737513368,4.852
4,3799.4029982454144,4.864
4,3813.092451256463,4.876
4,3827.313627584906,4.888
4,3842.0724322946967,4.9
4,3857.3716988147803,4.912
4,3873.209271258372,4.924
4,3889.5766284576625,4.936
4,3906.4575597864605,4.948
4,3923.8272736500917,4.96
4,3941.6521933794074,4.972
4,3959.8909771897374,4.984
4,3978.497468622376,4.996
4,3997.4237303848704,5.008
4,4016.6238434462443,5.02
4,4036.0562032389157,5.032
4,4055.684417379578,5.044
5,4075.4784398581355,5.056
5,4095.414921628685,5.068
5,4115.477818340326,5.08
5,4135.658735029521,5.092
5,4155.957740368581,5.104
5,4176.382355595252,5.116
5,4196.946258359232,5.128
5,4217.668207124903,5.14
5,4238.570370063412,5.152
5,4259.6772882970145,5.164
5,4281.016023802478,5.176
5,4302.6154490818935,5.188
5,4324.505613880628,5.2
5,4346.71825840576,5.212
5,4369.287152989559,5.224
5,4392.246916676499,5.236
5,4415.631218544801,5.248
5,4439.470595787933,5.26
5,4463.790669805644,5.272
5,4488.609401754469,5.284
5,4513.933575035304,5.296
5,4539.755471812517,5.308
5,4566.050008203404,5.32
5,4592.771978767649,5.332
5,4619.8542284037385,5.344
5,4647.206733577418,5.356
5,4674.715628003003,5.368
5,4702.242089008911,5.38
5,4729.622621760925,5.392
5,4756.670113137188,5.404
5,4783.173410904167,5.416
5,4808.901358695535,5.428
5,4833.610397007618,5.44
5,4857.053197918105,5.452
5,4878.988435142495,5.464
5,4899.19123309227,5.476
5,4917.464666954352,5.488
5,4933.6489792689945,5.5
5,4947.63026955369,5.512
5,4959.346670893534,5.524
5,4968.791913116926,5.536
5,4976.016000224974,5.548
5,4981.123296487216,5.56
5,4984.2690527465475,5.572
5,4985.652762146978,5.584
5,4985.509409293979,5.596
5,4984.098880750463,5.608
5,4981.693746508138,5.62
5,4978.567358109754,5.632
5,4974.983014685206,5.644
5,4971.183241881125,5.656
5,4967.378817484418,5.668
5,4963.740349186991,5.68
5,4960.3933549923495,5.692
5,4957.418111503961,5.704
5,4954.851500631294,5.716
5,4952.691076484768,5.728
5,4950.902978513655,5.74
5,4949.431978574461,5.752
5,4948.207939187588,5.764
5,4947.152268428476,5.776
5,4946.184598870524,5.788
5,4945.228451533155,5.8
5,4944.216772006306,5.812
5,4943.096949424918,5.824
5,4941.836107224849,5.836
5,4940.422919250365,5.848
5,4938.865901618877,5.86
5,4937.190843774225,5.872
